IDusuario,Nombre,Apellido,timestamp,FechaDeNacimiento,Tel,CorreoElectronico
1,Jose,Perez,2023-01-01 10:00:00.000,1999-01-01,68592430,jose1perez@gmail.com
2,Maria,Rodriguez,2023-01-02 10:00:00.000,1999-01-02,68592431,maria2rodriguez@gmail.com
3,Carlos,Gonzales,2023-01-03 10:00:00.000,1999-01-03,68592432,carlos3gonzales@gmail.com
4,Ana,Lopez,2023-01-04 10:00:00.000,1999-01-04,68592433,ana4lopez@gmail.com
5,Luis,Fernandez,2023-01-05 10:00:00.000,1999-01-05,68592434,luis5fernandez@gmail.com
6,Andrea,Garcia,2023-01-06 10:00:00.000,1999-01-06,68592435,andrea6garcia@gmail.com
7,Jorge,Ramirez,2023-01-07 10:00:00.000,1999-01-07,68592436,jorge7ramirez@gmail.com
8,Sandra,Mendez,2023-01-08 10:00:00.000,1999-01-08,68592437,sandra8mendez@gmail.com
9,Fernando,Martinez,2023-01-09 10:00:00.000,1999-01-09,68592438,fernando9martinez@gmail.com
10,Laura,Torrez,2023-01-10 10:00:00.000,1999-01-10,68592439,laura10torrez@gmail.com
11,Miguel,Ortiz,2023-01-11 10:00:00.000,2000-10-1,68592440,miguel11ortiz@gmail.com
12,Martha,Suarez,2023-01-12 10:00:00.000,2000-10-2,68592441,martha12suarez@gmail.com
13,Ricardo,Rojas,2023-01-13 10:00:00.000,2000-10-3,68592442,ricardo13rojas@gmail.com
14,Veronica,Rivas,2023-01-14 10:00:00.000,2000-10-4,68592443,veronica14rivas@gmail.com
15,Oscar,Vargas,2023-01-15 10:00:00.000,2000-10-5,68592444,oscar15vargas@gmail.com
16,Natalia,Gutierrez,2023-01-16 10:00:00.000,2000-10-6,68592445,natalia16gutierrez@gmail.com
17,Ivan,Flores,2023-01-17 10:00:00.000,2000-10-7,68592446,ivan17flores@gmail.com
18,Claudia,Vega,2023-01-18 10:00:00.000,2000-10-8,68592447,claudia18vega@gmail.com
19,Victor,Aguirre,2023-01-19 10:00:00.000,2000-10-9,68592448,victor19aguirre@gmail.com
20,Elena,Cortez,2023-01-20 10:00:00.000,2000-10-10,68592449,elena20cortez@gmail.com
21,Raul,Salazar,2023-01-21 10:00:00.000,2000-10-11,68592450,raul21salazar@gmail.com
22,Patricia,Nina,2023-01-22 10:00:00.000,2000-10-12,68592451,patricia22nina@gmail.com
23,Javier,Loayza,2023-01-23 10:00:00.000,2003-04-05,68592452,javier23loayza@gmail.com
24,Karen,Arce,2023-01-24 10:00:00.000,2003-04-06,68592453,karen24arce@gmail.com
25,Eduardo,Duran,2023-01-25 10:00:00.000,2003-04-07,68592454,eduardo25duran@gmail.com
26,Lucia,Espinoza,2023-01-26 10:00:00.000,2003-04-08,68592455,lucia26espinoza@gmail.com
27,Alfredo,Serrano,2023-01-27 10:00:00.000,2003-04-09,68592456,alfredo27serrano@gmail.com
28,Isabel,Molina,2023-01-28 10:00:00.000,2003-04-10,68592457,isabel28molina@gmail.com
29,Mauricio,Galindo,2023-01-29 10:00:00.000,2003-04-11,68592458,mauricio29galindo@gmail.com
30,Gabriela,Alvarez,2023-01-30 10:00:00.000,2003-04-12,68592459,gabriela30alvarez@gmail.com
31,Diego,Montano,2023-01-31 10:00:00.000,2003-04-13,68592460,diego31montano@gmail.com
32,Rocio,Chavez,2023-02-01 10:00:00.000,2003-04-14,68592461,rocio32chavez@gmail.com
33,Rodrigo,Rios,2023-02-02 10:00:00.000,2003-04-15,68592462,rodrigo33rios@gmail.com
34,Silvia,Navarro,2023-02-03 10:00:00.000,2003-04-16,68592463,silvia34navarro@gmail.com
35,Hector,Peña,2023-02-04 10:00:00.000,2003-04-17,68592464,hector35peña@gmail.com
36,Gloria,Padilla,2023-02-05 10:00:00.000,2003-04-18,68592465,gloria36padilla@gmail.com
37,Raquel,Vera,2023-02-06 10:00:00.000,1989-01-01,68592466,raquel37vera@gmail.com
38,Ruben,Saavedra,2023-02-07 10:00:00.000,1989-01-02,68592467,ruben38saavedra@gmail.com
39,Sofia,Guzman,2023-02-08 10:00:00.000,1989-01-03,68592468,sofia39guzman@gmail.com
40,Daniel,Quiroga,2023-02-09 10:00:00.000,1989-01-04,68592469,daniel40quiroga@gmail.com
